Classifications	Treatments	etrait	Annotation for etraita	eQTL	Lead_SNPb	P-valuec	eQTL_Typed	Candidate gene in eQTL region	Annotation for candidate genea
Static local-eQTLs	WS1	Zm00001d005708	Protein EDS1	2:184110744~184113378	2_184111385	1.07E-8	L	Zm00001d005708	Protein EDS1
Static local-eQTLs	WS2	Zm00001d005708	Protein EDS1	2:184109602~184113236	2_184110936	1.77E-8	L	Zm00001d005708	Protein EDS1
Static local-eQTLs	WW	Zm00001d047747	/	9:140734496~140740527	9_140740304	8.8499999999999997E-13	L	Zm00001d047747	/
Static local-eQTLs	WS1	Zm00001d047747	/	9:140734496~140740527	9_140738554	1.04E-14	L	Zm00001d047747	/
Static local-eQTLs	WS2	Zm00001d047747	/	9:140734496~140740481	9_140740304	1.47E-12	L	Zm00001d047747	/
Static local-eQTLs	WW	Zm00001d040036	Probable ubiquitin-conjugating enzyme E2 23	3:23962341~23967166	3_23965212	7.5400000000000002E-17	L	Zm00001d040036	Probable ubiquitin-conjugating enzyme E2 23
Static local-eQTLs	WS1	Zm00001d040036	Probable ubiquitin-conjugating enzyme E2 23	3:23962341~23967166	3_23964046	7.8400000000000002E-16	L	Zm00001d040036	Probable ubiquitin-conjugating enzyme E2 23
Static local-eQTLs	WS2	Zm00001d040036	Probable ubiquitin-conjugating enzyme E2 23	3:23962341~23967166	3_23964925	4.8599999999999999E-12	L	Zm00001d040036	Probable ubiquitin-conjugating enzyme E2 23
Static local-eQTLs	WW	Zm00001d042997	HIT-type Zinc finger family protein	3:186192044~186204702	3_186198878	9.6300000000000007E-16	L	Zm00001d042996,Zm00001d042997,Zm00001d042998	"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein,\HIT-type Zinc finger family protein\"",\""UPF0051 protein ABCI8 chloroplastic\"""""
Static local-eQTLs	WS1	Zm00001d042997	HIT-type Zinc finger family protein	3:186192044~186204535	3_186194736	3.07E-13	L	Zm00001d042996,Zm00001d042997,Zm00001d042998	"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein,\HIT-type Zinc finger family protein\"",\""UPF0051 protein ABCI8 chloroplastic\"""""
Static local-eQTLs	WS2	Zm00001d042997	HIT-type Zinc finger family protein	3:186187807~186204702	3_186191113	3.8099999999999997E-8	L	Zm00001d042996,Zm00001d042997,Zm00001d042998	"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein,\HIT-type Zinc finger family protein\"",\""UPF0051 protein ABCI8 chloroplastic\"""""
Static local-eQTLs	WW	Zm00001d045076	Serine/arginine-rich splicing factor RSZ22	9:11780765~11784780	9_11781882	2.1499999999999998E-9	L	Zm00001d045076	Serine/arginine-rich splicing factor RSZ22
Static local-eQTLs	WS1	Zm00001d045076	Serine/arginine-rich splicing factor RSZ22	9:11780701~11784780	9_11781883	6.4899999999999996E-13	L	Zm00001d045076	Serine/arginine-rich splicing factor RSZ22
Static local-eQTLs	WS2	Zm00001d045076	Serine/arginine-rich splicing factor RSZ22	9:11780701~11784758	9_11782490	3.2200000000000003E-11	L	Zm00001d045076	Serine/arginine-rich splicing factor RSZ22
Static local-eQTLs	WW	Zm00001d004702	Signal peptide peptidase-like 3	2:132220936~132244254	2_132236637	2.5899999999999999E-20	L	Zm00001d004702	Signal peptide peptidase-like 3
Static local-eQTLs	WS1	Zm00001d004702	Signal peptide peptidase-like 3	2:132220936~132244254	2_132244104	1.5100000000000001E-19	L	Zm00001d004702	Signal peptide peptidase-like 3
Static local-eQTLs	WS2	Zm00001d004702	Signal peptide peptidase-like 3	2:132220936~132244254	2_132241414	1.8099999999999998E-21	L	Zm00001d004702	Signal peptide peptidase-like 3
Static local-eQTLs	WW	Zm00001d019421	/	7:32975827~32978428	7_32978115	3.4599999999999999E-10	L	Zm00001d019421	/
Static local-eQTLs	WS1	Zm00001d019421	/	7:32975827~32978428	7_32978115	3.1699999999999999E-10	L	Zm00001d019421	/
Static local-eQTLs	WS2	Zm00001d019421	/	7:32976550~32978115	7_32978115	3.1500000000000001E-9	L	Zm00001d019421	/
Static local-eQTLs	WW	Zm00001d023506	 calcineurin B-like7	10:7802570~7806521	10_7803051	3.5000000000000002E-13	L	Zm00001d023506	 calcineurin B-like7
Static local-eQTLs	WS1	Zm00001d023506	 calcineurin B-like7	10:7802570~7806521	10_7803051	1.8100000000000001E-13	L	Zm00001d023506	 calcineurin B-like7
Static local-eQTLs	WS2	Zm00001d023506	 calcineurin B-like7	10:7802570~7806521	10_7803051	8.3499999999999998E-13	L	Zm00001d023506	 calcineurin B-like7
Static local-eQTLs	WW	Zm00001d033328	N-acetyl-gamma-glutamyl-phosphate reductase  	1:259165365~259167313	1_259167077	1.79E-10	L	Zm00001d033328	N-acetyl-gamma-glutamyl-phosphate reductase  
Static local-eQTLs	WS1	Zm00001d033328	N-acetyl-gamma-glutamyl-phosphate reductase  	1:259165365~259167313	1_259167077	1.65E-12	L	Zm00001d033328	N-acetyl-gamma-glutamyl-phosphate reductase  
Static local-eQTLs	WS2	Zm00001d033328	N-acetyl-gamma-glutamyl-phosphate reductase  	1:259165774~259167313	1_259167077	4.1300000000000002E-10	L	Zm00001d033328	N-acetyl-gamma-glutamyl-phosphate reductase  
Static local-eQTLs	WW	Zm00001d002674	/	2:18931055~18931156	2_18931096	1.4000000000000001E-10	L	Zm00001d002674	/
Static local-eQTLs	WS1	Zm00001d002674	/	2:18930995~18931156	2_18931096	1.9800000000000002E-9	L	Zm00001d002674	/
Static local-eQTLs	WS2	Zm00001d002674	/	2:18930995~18931156	2_18931096	1.43E-12	L	Zm00001d002674	/
Static local-eQTLs	WW	Zm00001d053886	L-arabinokinase	4:242963404~242966310	4_242966281	2.3000000000000001E-11	L	Zm00001d053885	/
Static local-eQTLs	WS1	Zm00001d053886	L-arabinokinase	4:242964683~242966281	4_242966281	1.0999999999999999E-8	L	Zm00001d053885	/
Static local-eQTLs	WS2	Zm00001d053886	L-arabinokinase	4:242965814~242966281	4_242966111	5.0699999999999997E-8	L	Zm00001d053885	/
Static local-eQTLs	WW	Zm00001d016197	Probable LRR receptor-like serine/threonine-protein kinase 	5:150293592~150303963	5_150302287	1.2100000000000001E-8	L	Zm00001d016197,ENSRNA049460407,Zm00001d016198	"Probable LRR receptor-like serine/threonine-protein kinase ,\U2 spliceosomal RNA\"",\"" glutamate-oxaloacetic transaminase3\"""""
Static local-eQTLs	WS1	Zm00001d016197	Probable LRR receptor-like serine/threonine-protein kinase 	5:150293592~150303963	5_150302287	8.0800000000000002E-9	L	Zm00001d016197,ENSRNA049460407,Zm00001d016198	"Probable LRR receptor-like serine/threonine-protein kinase ,\U2 spliceosomal RNA\"",\"" glutamate-oxaloacetic transaminase3\"""""
Static local-eQTLs	WS2	Zm00001d016197	Probable LRR receptor-like serine/threonine-protein kinase 	5:150296306~150305453	5_150298997	8.99E-10	L	Zm00001d016197,ENSRNA049460407,Zm00001d016198	"Probable LRR receptor-like serine/threonine-protein kinase ,\U2 spliceosomal RNA\"",\"" glutamate-oxaloacetic transaminase3\"""""
Static local-eQTLs	WW	Zm00001d028522	Late embryogenesis abundant (LEA) hydroxyproline- rich glycoprotein family	1:38044579~38047524	1_38046039	1.6500000000000001E-11	L	Zm00001d028522	Late embryogenesis abundant (LEA) hydroxyproline- rich glycoprotein family
Static local-eQTLs	WS1	Zm00001d028522	Late embryogenesis abundant (LEA) hydroxyproline- rich glycoprotein family	1:38046039~38047524	1_38047460	4.66E-9	L	Zm00001d028522	Late embryogenesis abundant (LEA) hydroxyproline- rich glycoprotein family
Static local-eQTLs	WS2	Zm00001d028522	Late embryogenesis abundant (LEA) hydroxyproline- rich glycoprotein family	1:38044579~38048161	1_38047460	1.5E-11	L	Zm00001d028522	Late embryogenesis abundant (LEA) hydroxyproline- rich glycoprotein family
Static local-eQTLs	WW	Zm00001d008966	Serine/threonine-protein kinase  	8:27714394~27722004	8_27715843	3.3300000000000001E-12	L	Zm00001d008965	Putative inactive receptor-like protein kinase 
Static local-eQTLs	WS1	Zm00001d008966	Serine/threonine-protein kinase  	8:27715139~27722004	8_27715843	3.3199999999999999E-11	L	Zm00001d008965	Putative inactive receptor-like protein kinase 
Static local-eQTLs	WS2	Zm00001d008966	Serine/threonine-protein kinase  	8:27715265~27717561	8_27715843	9.1599999999999999E-11	L	Zm00001d008965	Putative inactive receptor-like protein kinase 
Static local-eQTLs	WW	Zm00001d043194	Phosphoglycerate kinase  	3:191210894~191226270	3_191223894	1.37E-18	L	Zm00001d043195,Zm00001d043194	"Metacaspase-6,\Phosphoglycerate kinase  \"""""
Static local-eQTLs	WS1	Zm00001d043194	Phosphoglycerate kinase  	3:191209865~191228855	3_191223894	6.9799999999999996E-19	L	Zm00001d043195,Zm00001d043194	"Metacaspase-6,\Phosphoglycerate kinase  \"""""
Static local-eQTLs	WS2	Zm00001d043194	Phosphoglycerate kinase  	3:191209865~191225475	3_191214960	9.9500000000000002E-17	L	Zm00001d043195,Zm00001d043194	"Metacaspase-6,\Phosphoglycerate kinase  \"""""
Static local-eQTLs	WW	Zm00001d049662	glycine-rich protein	4:39069689~39077411	4_39073772	1.89E-13	L	Zm00001d049662,Zm00001d049663	"glycine-rich protein,\Cation/H(+) antiporter 14\"""""
Static local-eQTLs	WS1	Zm00001d049662	glycine-rich protein	4:39069689~39077411	4_39074405	4.3700000000000001E-13	L	Zm00001d049662,Zm00001d049663	"glycine-rich protein,\Cation/H(+) antiporter 14\"""""
Static local-eQTLs	WS2	Zm00001d049662	glycine-rich protein	4:39069689~39077411	4_39074929	7.79E-10	L	Zm00001d049662,Zm00001d049663	"glycine-rich protein,\Cation/H(+) antiporter 14\"""""
Static local-eQTLs	WW	Zm00001d016382	P-loop containing nucleoside triphosphate hydrolases superfamily protein	5:160268108~160274060	5_160271178	2E-14	L	Zm00001d016382	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Static local-eQTLs	WS1	Zm00001d016382	P-loop containing nucleoside triphosphate hydrolases superfamily protein	5:160268108~160274033	5_160273787	2.8699999999999999E-13	L	Zm00001d016382	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Static local-eQTLs	WS2	Zm00001d016382	P-loop containing nucleoside triphosphate hydrolases superfamily protein	5:160268108~160274060	5_160272723	1.6300000000000001E-11	L	Zm00001d016382	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Static local-eQTLs	WW	Zm00001d029758	Calcium-dependent protein kinase 6	1:86001706~86006327	1_86006114	7.1E-12	L	Zm00001d029758	Calcium-dependent protein kinase 6
Static local-eQTLs	WS1	Zm00001d029758	Calcium-dependent protein kinase 6	1:86003797~86006327	1_86006114	1.94E-10	L	Zm00001d029758	Calcium-dependent protein kinase 6
Static local-eQTLs	WS2	Zm00001d029758	Calcium-dependent protein kinase 6	1:86004185~86006327	1_86004525	3.8700000000000001E-7	L	Zm00001d029758	Calcium-dependent protein kinase 6
Static local-eQTLs	WW	Zm00001d048113	DNA-directed RNA polymerase subunit beta'	9:150382194~150382799	9_150382631	1.3699999999999999E-14	L	Zm00001d048113	DNA-directed RNA polymerase subunit beta'
Static local-eQTLs	WS1	Zm00001d048113	DNA-directed RNA polymerase subunit beta'	9:150382194~150382799	9_150382631	9.3500000000000005E-14	L	Zm00001d048113	DNA-directed RNA polymerase subunit beta'
Static local-eQTLs	WS2	Zm00001d048113	DNA-directed RNA polymerase subunit beta'	9:150382194~150382799	9_150382631	1.1E-12	L	Zm00001d048113	DNA-directed RNA polymerase subunit beta'
Static local-eQTLs	WW	Zm00001d007819	40S ribosomal protein S15-4	2:240252381~240254033	2_240253995	1.7700000000000001E-11	L	Zm00001d007819	40S ribosomal protein S15-4
Static local-eQTLs	WS1	Zm00001d007819	40S ribosomal protein S15-4	2:240253039~240254201	2_240253961	4.73E-13	L	Zm00001d007819	40S ribosomal protein S15-4
Static local-eQTLs	WS2	Zm00001d007819	40S ribosomal protein S15-4	2:240252381~240254033	2_240253898	5.3100000000000003E-11	L	Zm00001d007819	40S ribosomal protein S15-4
Static local-eQTLs	WW	Zm00001d005958	 methyl binding domain117	2:193814265~193824119	2_193814687	6.9299999999999998E-13	L	Zm00001d005958,Zm00001d005959	" methyl binding domain117,\ empty pericarp6\"""""
Static local-eQTLs	WS1	Zm00001d005958	 methyl binding domain117	2:193814265~193824605	2_193814705	8.4199999999999999E-10	L	Zm00001d005958,Zm00001d005959	" methyl binding domain117,\ empty pericarp6\"""""
Static local-eQTLs	WS2	Zm00001d005958	 methyl binding domain117	2:193814265~193824605	2_193820174	1.7899999999999999E-13	L	Zm00001d005958,Zm00001d005959	" methyl binding domain117,\ empty pericarp6\"""""
Static local-eQTLs	WW	Zm00001d007810	40S ribosomal protein S15-4	2:240071903~240073008	2_240073008	2.0500000000000002E-9	L	Zm00001d007810	40S ribosomal protein S15-4
Static local-eQTLs	WS1	Zm00001d007810	40S ribosomal protein S15-4	2:240071760~240073379	2_240071903	1.43E-9	L	Zm00001d007810	40S ribosomal protein S15-4
Static local-eQTLs	WS2	Zm00001d007810	40S ribosomal protein S15-4	2:240071701~240073379	2_240071903	1.5799999999999999E-8	L	Zm00001d007810	40S ribosomal protein S15-4
Static local-eQTLs	WW	Zm00001d043534	P-loop containing nucleoside triphosphate hydrolases superfamily protein	3:203070481~203076064	3_203070481	1.0000000000000001E-9	L	Zm00001d043534	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Static local-eQTLs	WS1	Zm00001d043534	P-loop containing nucleoside triphosphate hydrolases superfamily protein	3:203070481~203076065	3_203070481	6.82E-9	L	Zm00001d043534	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Static local-eQTLs	WS2	Zm00001d043534	P-loop containing nucleoside triphosphate hydrolases superfamily protein	3:203070481~203076065	3_203070481	1.43E-11	L	Zm00001d043534	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Static local-eQTLs	WW	Zm00001d046226	 multidrug resistance protein associated1	9:73244332~73250039	9_73247057	3.3200000000000001E-9	L	Zm00001d046226	 multidrug resistance protein associated1
Static local-eQTLs	WS1	Zm00001d046226	 multidrug resistance protein associated1	9:73244332~73249830	9_73244456	1.69E-9	L	Zm00001d046226	 multidrug resistance protein associated1
Static local-eQTLs	WS2	Zm00001d046226	 multidrug resistance protein associated1	9:73249663~73251098	9_73250982	1.74E-7	L	Zm00001d046226	 multidrug resistance protein associated1
Static local-eQTLs	WW	Zm00001d011379	glycosyl transferase family 1 protein	8:149086248~149086760	8_149086417	7.05E-19	L	Zm00001d011379	glycosyl transferase family 1 protein
Static local-eQTLs	WS1	Zm00001d011379	glycosyl transferase family 1 protein	8:149086248~149086760	8_149086417	2.57E-17	L	Zm00001d011379	glycosyl transferase family 1 protein
Static local-eQTLs	WS2	Zm00001d011379	glycosyl transferase family 1 protein	8:149086248~149086417	8_149086416	1.38E-9	L	Zm00001d011379	glycosyl transferase family 1 protein
Static local-eQTLs	WW	Zm00001d038928	/	6:167155059~167168754	6_167160163	3.1300000000000001E-16	L	Zm00001d038927,Zm00001d038928,Zm00001d038929	" thiol oxidoreductase1,\/\"",\""ATP synthase2\"""""
Static local-eQTLs	WS1	Zm00001d038928	/	6:167155059~167168754	6_167160163	4.8700000000000001E-17	L	Zm00001d038927,Zm00001d038928,Zm00001d038929	" thiol oxidoreductase1,\/\"",\""ATP synthase2\"""""
Static local-eQTLs	WS2	Zm00001d038928	/	6:167155059~167168754	6_167160263	1.37E-17	L	Zm00001d038927,Zm00001d038928,Zm00001d038929	" thiol oxidoreductase1,\/\"",\""ATP synthase2\"""""
Static local-eQTLs	WW	Zm00001d051995	 proliferating cell nuclear antigen2	4:176046957~176049676	4_176049676	5.28E-16	L	Zm00001d051995	 proliferating cell nuclear antigen2
Static local-eQTLs	WS1	Zm00001d051995	 proliferating cell nuclear antigen2	4:176046957~176049676	4_176049676	1.67E-13	L	Zm00001d051995	 proliferating cell nuclear antigen2
Static local-eQTLs	WS2	Zm00001d051995	 proliferating cell nuclear antigen2	4:176046957~176049676	4_176049676	1.8099999999999999E-19	L	Zm00001d051995	 proliferating cell nuclear antigen2
Static local-eQTLs	WW	Zm00001d053659	Calcium ion binding protein  	4:238365216~238366755	4_238366409	1.2600000000000001E-12	L	Zm00001d053659,Zm00001d053660	"Calcium ion binding protein  ,\Putative regulator of chromosome condensation (RCC1) family protein  \"""""
Static local-eQTLs	WS1	Zm00001d053659	Calcium ion binding protein  	4:238365216~238366568	4_238366529	2.1999999999999999E-12	L	Zm00001d053659,Zm00001d053660	"Calcium ion binding protein  ,\Putative regulator of chromosome condensation (RCC1) family protein  \"""""
Static local-eQTLs	WS2	Zm00001d053659	Calcium ion binding protein  	4:238365270~238366566	4_238366409	3.5800000000000002E-11	L	Zm00001d053659,Zm00001d053660	"Calcium ion binding protein  ,\Putative regulator of chromosome condensation (RCC1) family protein  \"""""
Static local-eQTLs	WW	Zm00001d045355	/	9:19438332~19442217	9_19441956	8.0299999999999999E-15	L	Zm00001d045354,Zm00001d045355	"CDT1-like protein a chloroplastic,\/\"""""
Static local-eQTLs	WS1	Zm00001d045355	/	9:19438332~19442217	9_19442188	6.2599999999999998E-18	L	Zm00001d045354,Zm00001d045355	"CDT1-like protein a chloroplastic,\/\"""""
Static local-eQTLs	WS2	Zm00001d045355	/	9:19438332~19442217	9_19442188	2.0699999999999999E-17	L	Zm00001d045354,Zm00001d045355	"CDT1-like protein a chloroplastic,\/\"""""
Static local-eQTLs	WW	Zm00001d050191	Ubiquitin-specific protease family C19-related protein	4:72039381~72043999	4_72041287	1.0200000000000001E-16	L	Zm00001d050191	Ubiquitin-specific protease family C19-related protein
Static local-eQTLs	WS1	Zm00001d050191	Ubiquitin-specific protease family C19-related protein	4:72039467~72043901	4_72041287	7.4400000000000004E-14	L	Zm00001d050191	Ubiquitin-specific protease family C19-related protein
Static local-eQTLs	WS2	Zm00001d050191	Ubiquitin-specific protease family C19-related protein	4:72039467~72043901	4_72041287	2.9500000000000001E-14	L	Zm00001d050191	Ubiquitin-specific protease family C19-related protein
Static local-eQTLs	WW	Zm00001d013251	LRR receptor-like serine/threonine-protein kinase RPK2	5:7131887~7132576	5_7132576	7.5699999999999996E-8	L	Zm00001d013251	LRR receptor-like serine/threonine-protein kinase RPK2
Static local-eQTLs	WS1	Zm00001d013251	LRR receptor-like serine/threonine-protein kinase RPK2	5:7132008~7132208	5_7132185	3.7100000000000001E-8	L	Zm00001d013251	LRR receptor-like serine/threonine-protein kinase RPK2
Static local-eQTLs	WS2	Zm00001d013251	LRR receptor-like serine/threonine-protein kinase RPK2	5:7132008~7136800	5_7132576	1.86E-10	L	Zm00001d013251	LRR receptor-like serine/threonine-protein kinase RPK2
Static local-eQTLs	WW	Zm00001d027622	Zinc finger (C3HC4-type RING finger) family protein	1:9229382~9232728	1_9229496	4.8499999999999996E-9	L	Zm00001d027622	Zinc finger (C3HC4-type RING finger) family protein
Static local-eQTLs	WS1	Zm00001d027622	Zinc finger (C3HC4-type RING finger) family protein	1:9229422~9231390	1_9229496	1.28E-8	L	Zm00001d027622	Zinc finger (C3HC4-type RING finger) family protein
Static local-eQTLs	WS2	Zm00001d027622	Zinc finger (C3HC4-type RING finger) family protein	1:9229422~9233060	1_9229496	2.64E-9	L	Zm00001d027622	Zinc finger (C3HC4-type RING finger) family protein
Static local-eQTLs	WW	Zm00001d019192	Trypsin/factor XIIA inhibitor  	7:21064688~21064915	7_21064797	1.63E-8	L	Zm00001d019191	ADP-ribosylation factor A1F
Static local-eQTLs	WS1	Zm00001d019192	Trypsin/factor XIIA inhibitor  	7:21064688~21064915	7_21064915	1.4699999999999999E-8	L	Zm00001d019191	ADP-ribosylation factor A1F
Static local-eQTLs	WS2	Zm00001d019192	Trypsin/factor XIIA inhibitor  	7:21064688~21064915	7_21064797	1.4100000000000001E-13	L	Zm00001d019191	ADP-ribosylation factor A1F
Static local-eQTLs	WW	Zm00001d033002	ATP-dependent 6-phosphofructokinase 5 chloroplastic	1:246559318~246561553	1_246561306	1.23E-16	L	Zm00001d033002	ATP-dependent 6-phosphofructokinase 5 chloroplastic
Static local-eQTLs	WS1	Zm00001d033002	ATP-dependent 6-phosphofructokinase 5 chloroplastic	1:246559318~246562270	1_246561306	3.1000000000000001E-18	L	Zm00001d033002	ATP-dependent 6-phosphofructokinase 5 chloroplastic
Static local-eQTLs	WS2	Zm00001d033002	ATP-dependent 6-phosphofructokinase 5 chloroplastic	1:246559318~246561553	1_246561306	2.1400000000000001E-15	L	Zm00001d033002	ATP-dependent 6-phosphofructokinase 5 chloroplastic
Static local-eQTLs	WW	Zm00001d037163	Transmembrane emp24 domain-containing protein p24delta4	6:114526785~114531813	6_114531781	4.2099999999999999E-10	L	Zm00001d037163	Transmembrane emp24 domain-containing protein p24delta4
Static local-eQTLs	WS1	Zm00001d037163	Transmembrane emp24 domain-containing protein p24delta4	6:114526785~114531813	6_114530336	1.76E-12	L	Zm00001d037163	Transmembrane emp24 domain-containing protein p24delta4
Static local-eQTLs	WS2	Zm00001d037163	Transmembrane emp24 domain-containing protein p24delta4	6:114526794~114531813	6_114528375	2.6000000000000001E-9	L	Zm00001d037163	Transmembrane emp24 domain-containing protein p24delta4
Static local-eQTLs	WW	Zm00001d040554	Probable WRKY transcription factor 47	3:49329012~49333059	3_49331579	6.3300000000000004E-8	L	Zm00001d040554	Probable WRKY transcription factor 47
Static local-eQTLs	WS1	Zm00001d040554	Probable WRKY transcription factor 47	3:49329012~49333059	3_49329012	1.4999999999999999E-8	L	Zm00001d040554	Probable WRKY transcription factor 47
